ID,sample date,analyses type,samples analyzed,calibration slope,calibration intercept,correlation coefficient,measure units,MDL,standard range - low,standard range - high,external theoretical,external measured,bias,digestion theoretical,digestion measured,digestion recovery (%),sample spiked,sample value,spike amount,spike theoretical,spike measured,spike recovery (%),qc comments
1,"08/01/99 00:00:00","nitrogen","R1-R20",,,,"mg/L",0.003,0.025,2,,,,1,0.9553,96,,,,,,,
2,"08/01/99 00:00:00","phosphorous","R1-R20",,,,"ug/L",1.06,3.1,124,,,,100,95.61,97,,,,,,,
3,"08/01/99 00:00:00","mib","R1, R5, R9A, R13, R16",,,,"ng/L",5,5,50,,,,,,,,,,,,,
4,"08/01/99 00:00:00","geosmin","R1, R5, R9A, R13, R16",,,,"ng/L",5,5,50,,,,,,,,,,,,,
5,"08/01/99 00:00:00","doc","R1-R19",,,,"mg/L",,,,,,,,,,,,,,,,
6,"08/01/99 00:00:00","conductance","R1-R18",,,,"uS/cm",,,,,,,,,,,,,,,,
7,"09/01/99 00:00:00","nitrogen","R1-R20",,,,"mg/L",0.003,0.025,2,,,,1,0.9536,95,,,,,,,
8,"09/01/99 00:00:00","phosphorous","R1-R20",,,,"ug/L",1.06,3.1,124,,,,100,95.61,96,,,,,,,
9,"09/01/99 00:00:00","mib","R1, R5, R9A, R13, R16",,,,"ng/L",5,5,50,,,,,,,,,,,,,
10,"09/01/99 00:00:00","geosmin","R1, R5, R9A, R13, R16",,,,"ng/L",5,5,50,,,,,,,,,,,,,
11,"09/01/99 00:00:00","doc","R1-R20;R20(aug-99)",,,,"mg/L",,,,,,,,,,,,,,,,
12,"09/01/99 00:00:00","conductance","R1-R18",,,,"uS/cm",,,,,,,,,,,,,,,,
13,"09/01/99 00:00:00","thm","R1-R20",,,,"ug/L",,,,,,,,,,,,,,,,
14,"10/01/99 00:00:00","nitrogen","R1-R20",,,,"mg/L",0.003,0.025,2,,,,1,0.9971,100,,,,,,,
15,"10/01/99 00:00:00","phosphorous","R1-R20",,,,"ug/L",1.06,3.1,124,,,,100,94.78,95,,,,,,,
16,"10/01/99 00:00:00","mib","R1-R20",,,,"ng/L",5,5,50,,,,,,,,,,,,,
17,"10/01/99 00:00:00","geosmin","R1-R20",,,,"ng/L",5,5,50,,,,,,,,,,,,,
18,"10/01/99 00:00:00","doc","R1-R20",,,,"mg/L",,,,,,,,,,,,,,,,
19,"10/01/99 00:00:00","conductance","R1-R18",,,,"uS/cm",,,,,,,,,,,,,,,,
20,"11/01/99 00:00:00","nitrogen","R1-R18; R20 (aug&sep-99)",,,,"mg/L",0.003,0.025,2,,,,1,1.26,126,,,,,,,
21,"11/01/99 00:00:00","phosphorous","R1-R18; R20 (aug&sep-99)",,,,"ug/L",1.06,3.1,124,,,,100,96.36,96,,,,,,,
22,"11/01/99 00:00:00","mib","R1-R16",,,,"ng/L",5,5,50,,,,,,,"R4",2.7,20,22.7,19.8,86,
