ID,site number,site location,date,tot N (ppm (0<mdl)),diss N (ppm (0<mdl)),tot P (ppb (0<mdl)),diss P (ppb (0<mdl)),MIB (0<mdl, ng/L),Geosmin  (0<mdl, ng/L),664nm,647nm,630nm,chl-a,chl-b,chl-c,chl-a (mg/m2),chl-b (mg/m2),chl-c (mg/m2),DWT (mg/m2)
1.0000000000000000e+00,"SP","1st scraping","08/01/99 00:00:00",2.5440000000000002e-01,2.2960000000000000e-01,4.8820000000000000e+01,1.8707999999999998e+01,,,,,,,,,,,,
2.0000000000000000e+00,"AZ Canal","Alma School","08/01/99 00:00:00",2.9840000000000000e-01,2.5600000000000001e-01,4.3180000000000000e+01,1.0550000000000001e+01,,,,,,,,,,,,
3.0000000000000000e+00,"SP1",,"08/27/99 00:00:00",,,,,1.0000000000000000e+01,2.5000000000000000e+01,,,,,,,,,,
4.0000000000000000e+00,"SP2",,"08/27/99 00:00:00",,,,,1.1000000000000000e+01,2.4000000000000000e+01,,,,,,,,,,
5.0000000000000000e+00,"SP",,"10/02/99 00:00:00",,,,,3.8000000000000000e+01,1.0000000000000000e+01,,,,,,,,,,
6.0000000000000000e+00,"HS",,"10/02/99 00:00:00",,,,,2.7000000000000000e+01,7.0000000000000000e+00,,,,,,,,,,
7.0000000000000000e+00,"INF 1",,"10/13/99 00:00:00",,,,,3.3000000000000000e+01,8.0000000000000000e+00,,,,,,,,,,
8.0000000000000000e+00,"INF 2",,"10/13/99 00:00:00",,,,,2.6000000000000000e+01,7.0000000000000000e+00,,,,,,,,,,
9.0000000000000000e+00,"SP RAW 1",,"10/22/99 00:00:00",,,,,2.5000000000000000e+01,5.0000000000000000e+00,,,,,,,,,,
1.0000000000000000e+01,"H1",,"10/28/99 00:00:00",,,,,,,"0.359","0.101","0.065","4.087",,,,,,
1.1000000000000000e+01,"H2",,"10/28/99 00:00:00",,,,,,,"0.342","0.101","0.075","3.891",,,,,,
1.2000000000000000e+01,"H3",,"10/28/99 00:00:00",,,,,,,"0.34","0.111","0.064","3.853",,,,,,
1.3000000000000000e+01,"H4",,"10/28/99 00:00:00",,,,,,,"0.441","0.164","0.171","4.96",,,,,,
1.4000000000000000e+01,"H5",,"10/28/99 00:00:00",,,,,,,"0.346","0.111","0.083","3.923",,,,,,
1.5000000000000000e+01,"H6",,"10/28/99 00:00:00",,,,,,,"0.393","0.119","0.087","4.467",,,,,,
1.6000000000000000e+01,"H7",,"10/28/99 00:00:00",,,,,,,"0.358","0.109","0.078","4.068",,,,,,
1.7000000000000000e+01,"H8",,"10/28/99 00:00:00",,,,,,,"0.287","0.088","0.064","3.26",,,,,,
1.8000000000000000e+01,"H9",,"10/28/99 00:00:00",,,,,,,"0.411","0.124","0.095","4.672",,,,,,
1.9000000000000000e+01,"SP1",,"10/28/99 00:00:00",,,,,,,"0.518","0.195","0.106","5.824",,,,,,
2.0000000000000000e+01,"SP2",,"10/28/99 00:00:00",,,,,,,"0.53","0.199","0.13","5.964",,,,,,
2.1000000000000000e+01,"SP3",,"10/28/99 00:00:00",,,,,,,"0.305","0.105","0.072","3.447",,,,,,
2.2000000000000000e+01,"SP4",,"10/28/99 00:00:00",,,,,,,"0.494","0.188","0.132","5.554",,,,,,
2.3000000000000000e+01,"SP5",,"10/28/99 00:00:00",,,,,,,"0.457","0.166","0.119","5.15",,,,,,
2.4000000000000000e+01,"SP6",,"10/28/99 00:00:00",,,,,,,"0.292","0.107","0.076","3.289",,,,,,
2.5000000000000000e+01,"SP7",,"10/28/99 00:00:00",,,,,,,"0.381","0.15","0.11","4.275",,,,,,
2.6000000000000000e+01,"SP8",,"10/28/99 00:00:00",,,,,,,"0.242","0.091","0.06","2.722",,,,,,
2.7000000000000000e+01,"SP9",,"10/28/99 00:00:00",,,,,,,"0.297","0.099","0.06","2.229",,,,,,
2.8000000000000000e+01,"HS","Hayden site","10/02/99 00:00:00",2.2900000000000001e-01,,2.1260000000000002e+01,,,,,,,,,,,,,
2.9000000000000000e+01,"SP","Squaw Peak","10/02/99 00:00:00",2.2600000000000001e-01,,1.5480000000000000e+01,,,,,,,,,,,,,
3.0000000000000000e+01,"HS","Hayden site","10/28/99 00:00:00",3.3100000000000002e-01,,2.4940000000000001e+01,,,,,,,,,,,,,
3.1000000000000000e+01,"SP","Squaw Peak","10/28/99 00:00:00",3.5399999999999998e-01,,5.6979999999999997e+01,,,,,,,,,,,,,
3.2000000000000000e+01,"SP","Squaw Peak","12/08/99 00:00:00",,,,,1.0600000000000000e+01,8.0000000000000000e+00,,,,,,,,,,
3.3000000000000000e+01,"HS","Hayden","12/08/99 00:00:00",,,,,1.1900000000000000e+01,7.9000000000000004e+00,,,,,,,,,,
